Project,Package,Module,Class,Smell,Method,Line no,File,Description
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,run_experiment,482,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 165 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,run_experiment,496,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 123 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,run_experiment,522,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 241 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,run_experiment,559,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 158 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,run_experiment,579,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 263 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Long statement,run_experiment,633,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,A line with 173 chars in run_experiment exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Magic number,get_learner_fn,209,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,Magic number 0.5 used in get_learner_fn.
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,Magic number,get_learner_fn,176,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py,Magic number 1e-08 used in get_learner_fn.
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long parameter list,__init__,39 - 114,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,"__init__ has 7 parameters, exceeding the max of 5."
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long statement,__init__,49,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,A line with 1014 chars in __init__ exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long statement,__init__,83,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,A line with 213 chars in __init__ exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long statement,__init__,103,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,A line with 302 chars in __init__ exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long statement,save,122,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,A line with 531 chars in save exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long statement,save,139,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,A line with 164 chars in save exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long statement,restore_params,156,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,A line with 687 chars in restore_params exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long statement,restore_params,175,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,A line with 180 chars in restore_params exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,Long statement,get_cfg,210,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py,A line with 141 chars in get_cfg exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_spellchecker,,Long statement,,14,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_spellchecker.py,A line with 122 chars in _spellchecker exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Complex conditional,parse_file,991,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"A conditional in parse_file has 4 conditions, more than the recommended maximum 3 conditions."
dataset,dataset.codespell.codespell_lib,_codespell,,Complex method,parse_options,375 - 697,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"Method 'parse_options' has a cyclomatic complexity of 17, exceeding the max of 6."
dataset,dataset.codespell.codespell_lib,_codespell,,Complex method,ask_for_word_fix,754 - 813,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"Method 'ask_for_word_fix' has a cyclomatic complexity of 14, exceeding the max of 6."
dataset,dataset.codespell.codespell_lib,_codespell,,Complex method,parse_file,873 - 1084,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"Method 'parse_file' has a cyclomatic complexity of 46, exceeding the max of 6."
dataset,dataset.codespell.codespell_lib,_codespell,,Complex method,main,1117 - 1351,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"Method 'main' has a cyclomatic complexity of 41, exceeding the max of 6."
dataset,dataset.codespell.codespell_lib,_codespell,,Empty catch block,parse_file,937,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Empty catch block found in parse_file.
dataset,dataset.codespell.codespell_lib,_codespell,,Empty catch block,parse_file,946,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Empty catch block found in parse_file.
dataset,dataset.codespell.codespell_lib,_codespell,,Empty catch block,main,1146,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Empty catch block found in main.
dataset,dataset.codespell.codespell_lib,_codespell,,Empty catch block,main,1195,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Empty catch block found in main.
dataset,dataset.codespell.codespell_lib,_codespell,,Empty catch block,main,1276,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Empty catch block found in main.
dataset,dataset.codespell.codespell_lib,_codespell,,Empty catch block,main,1155,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Empty catch block found in main.
dataset,dataset.codespell.codespell_lib,_codespell,,Empty catch block,main,1168,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Empty catch block found in main.
dataset,dataset.codespell.codespell_lib,_codespell,,Long identifier,flatten_clean_comma_separated_arguments,1087,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Identifier'flatten_clean_comma_separated_arguments' exceeds the maximum length of 30 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long identifier,,45,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Identifier'ENABLE_VIRTUAL_TERMINAL_PROCESSING' exceeds the maximum length of 30 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long method,parse_options,375 - 697,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Method 'parse_options' is too long (297 lines).
dataset,dataset.codespell.codespell_lib,_codespell,,Long method,parse_file,873 - 1084,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Method 'parse_file' is too long (195 lines).
dataset,dataset.codespell.codespell_lib,_codespell,,Long method,main,1117 - 1351,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Method 'main' is too long (216 lines).
dataset,dataset.codespell.codespell_lib,_codespell,,Long parameter list,apply_uri_ignore_words,852 - 870,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"apply_uri_ignore_words has 6 parameters, exceeding the max of 5."
dataset,dataset.codespell.codespell_lib,_codespell,,Long parameter list,parse_file,873 - 1084,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"parse_file has 13 parameters, exceeding the max of 5."
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,_toml_to_parseconfig,336,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 132 chars in _toml_to_parseconfig exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,383,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 137 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,390,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 138 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,398,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 123 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,406,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 230 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,417,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 272 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,427,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 293 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,438,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 406 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,451,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 277 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,461,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 227 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,470,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 316 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,480,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 291 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,491,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 159 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,506,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 128 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,513,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 224 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,523,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 248 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,535,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 304 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,550,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 649 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,572,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 261 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,591,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 157 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,619,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 132 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,parse_options,649,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 251 chars in parse_options exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,flatten_clean_comma_separated_arguments,1090,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 184 chars in flatten_clean_comma_separated_arguments exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,main,1243,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 121 chars in main exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,main,1305,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 187 chars in main exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,main,1330,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 190 chars in main exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,FileOpener,Long statement,init_chardet,219,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 246 chars in init_chardet exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,,14,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 122 chars in _codespell exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Long statement,,75,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,A line with 783 chars in _codespell exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib,_codespell,,Magic number,parse_options,646,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Magic number 3 used in parse_options.
dataset,dataset.codespell.codespell_lib,_codespell,,Magic number,parse_options,646,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Magic number 11 used in parse_options.
dataset,dataset.codespell.codespell_lib,_codespell,,Magic number,ask_for_word_fix,786,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Magic number 2 used in ask_for_word_fix.
dataset,dataset.codespell.codespell_lib,_codespell,,Magic number,parse_file,1031,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Magic number 2 used in parse_file.
dataset,dataset.codespell.codespell_lib,_codespell,,Magic number,_script_main,1108,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Magic number 130 used in _script_main.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Complex method,test_dictionary_looping,297 - 363,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,"Method 'test_dictionary_looping' has a cyclomatic complexity of 12, exceeding the max of 6."
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Long statement,_check_aspell,116,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,A line with 125 chars in _check_aspell exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Long statement,test_dictionary_looping,323,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,A line with 124 chars in test_dictionary_looping exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Long statement,test_dictionary_looping,333,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,A line with 123 chars in test_dictionary_looping exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Long statement,test_dictionary_looping,341,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,A line with 123 chars in test_dictionary_looping exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Long statement,test_dictionary_looping,346,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,A line with 141 chars in test_dictionary_looping exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Long statement,test_dictionary_looping,357,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,A line with 140 chars in test_dictionary_looping exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Long statement,,283,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,A line with 397 chars in test_dictionary exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,Magic number,test_ran_all,374,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,Magic number 2 used in test_ran_all.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Empty catch block,test_check_hidden,706,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Empty catch block found in test_check_hidden.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long identifier,test_check_filename_irregular_file,631,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Identifier'test_check_filename_irregular_file' exceeds the maximum length of 30 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long identifier,_helper_test_case_handling_in_fixes,759,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Identifier'_helper_test_case_handling_in_fixes' exceeds the maximum length of 30 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long identifier,test_ignore_multiline_regex_option,943,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Identifier'test_ignore_multiline_regex_option' exceeds the maximum length of 30 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long identifier,test_uri_ignore_words_list_option_uri,1017,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Identifier'test_uri_ignore_words_list_option_uri' exceeds the maximum length of 30 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long identifier,test_uri_ignore_words_list_option_email,1082,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Identifier'test_uri_ignore_words_list_option_email' exceeds the maximum length of 30 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long identifier,test_ill_formed_ini_config_file,1258,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Identifier'test_ill_formed_ini_config_file' exceeds the maximum length of 30 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long method,test_basic,91 - 168,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Method 'test_basic' is too long (68 lines).
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long method,test_uri_regex_def,1136 - 1226,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Method 'test_uri_regex_def' is too long (86 lines).
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long method,test_config_toml,1280 - 1362,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Method 'test_config_toml' is too long (70 lines).
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long statement,test_ignore_dictionary,332,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,A line with 161 chars in test_ignore_dictionary exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long statement,test_exclude_file,494,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,A line with 134 chars in test_exclude_file exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long statement,test_ignore_multiline_regex_option,957,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,A line with 241 chars in test_ignore_multiline_regex_option exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long statement,test_uri_regex_def,1140,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,A line with 1180 chars in test_uri_regex_def exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long statement,test_uri_regex_def,1178,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,A line with 131 chars in test_uri_regex_def exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long statement,test_uri_regex_def,1190,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,A line with 465 chars in test_uri_regex_def exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Long statement,run_codespell_stdin,1382,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,A line with 121 chars in run_codespell_stdin exceeds the maximum length of 120 characters.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_constants,29,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 64 used in test_constants.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_constants,30,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 65 used in test_constants.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_constants,31,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 78 used in test_constants.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_command,88,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 4 used in test_command.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_basic,113,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 2 used in test_basic.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_basic,116,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 2 used in test_basic.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_basic,117,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 4 used in test_basic.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_basic,142,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 8 used in test_basic.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_basic,157,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 2 used in test_basic.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_bad_glob,201,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 50988528 used in test_bad_glob.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_summary,314,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 5 used in test_summary.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_summary,322,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 7 used in test_summary.
dataset,dataset.codespell.codespell_lib.tests,test_basic,,Magic number,test_summary,323,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,Magic number 2 used in test_summary.
