Source,File,Method,Code_Smell,Line_no,Start_line,End_line,Details
dataset,settings.py,_get_total_physmem,Empty Catch Block,216.0,,,Empty catch block at line 216
dataset,settings.py,_get_total_physmem,Empty Catch Block,222.0,,,Empty catch block at line 222
dataset,settings.py,read_config,Empty Catch Block,296.0,,,Empty catch block at line 296
dataset,settings.py,,Long Identifier,,,,Identifier 'FRESH_IPCAT_DELTA_DAYS' has 22 characters (threshold: 20)
dataset,settings.py,file_level,Long Lambda Function,110.0,,,Lambda at line 110 has 81 characters (threshold: 80). Convert to named function.
dataset,settings.py,file_level,Long Lambda Function,126.0,,,Lambda at line 126 has 95 characters (threshold: 80). Convert to named function.
dataset,settings.py,read_config,Long Message Chain,277.0,,,Message chain at line 277 has 3 chained methods (threshold: 2)
dataset,settings.py,read_config,Long Message Chain,290.0,,,Message chain at line 290 has 3 chained methods (threshold: 2)
dataset,settings.py,read_config,Long Message Chain,310.0,,,Message chain at line 310 has 3 chained methods (threshold: 2)
dataset,settings.py,_get_total_physmem,Long Method,,156.0,225.0,Method '_get_total_physmem' has 70 lines (threshold: 67)
dataset,settings.py,read_config,Long Method,,227.0,379.0,Method 'read_config' has 153 lines (threshold: 67)
dataset,settings.py,,Long Statement,31.0,,,Line 31 has 139 characters (threshold: 120)
dataset,settings.py,,Long Statement,47.0,,,Line 47 has 136 characters (threshold: 120)
dataset,settings.py,,Long Statement,51.0,,,Line 51 has 153 characters (threshold: 120)
dataset,settings.py,,Long Statement,74.0,,,Line 74 has 131 characters (threshold: 120)
dataset,settings.py,,Long Statement,76.0,,,Line 76 has 149 characters (threshold: 120)
dataset,settings.py,,Long Statement,83.0,,,Line 83 has 169 characters (threshold: 120)
dataset,settings.py,,Long Statement,85.0,,,Line 85 has 252 characters (threshold: 120)
dataset,settings.py,,Long Statement,86.0,,,Line 86 has 167 characters (threshold: 120)
dataset,settings.py,,Long Statement,89.0,,,Line 89 has 469 characters (threshold: 120)
dataset,settings.py,,Long Statement,93.0,,,Line 93 has 178 characters (threshold: 120)
dataset,settings.py,,Long Statement,96.0,,,Line 96 has 221 characters (threshold: 120)
dataset,settings.py,,Long Statement,98.0,,,Line 98 has 561 characters (threshold: 120)
dataset,settings.py,,Long Statement,99.0,,,Line 99 has 174 characters (threshold: 120)
dataset,settings.py,,Long Statement,100.0,,,Line 100 has 337 characters (threshold: 120)
dataset,settings.py,,Long Statement,101.0,,,Line 101 has 746 characters (threshold: 120)
dataset,settings.py,,Long Statement,105.0,,,Line 105 has 143 characters (threshold: 120)
dataset,settings.py,,Long Statement,108.0,,,Line 108 has 266 characters (threshold: 120)
dataset,settings.py,,Long Statement,112.0,,,Line 112 has 144 characters (threshold: 120)
dataset,settings.py,,Long Statement,113.0,,,Line 113 has 364 characters (threshold: 120)
dataset,settings.py,,Long Statement,118.0,,,Line 118 has 154 characters (threshold: 120)
dataset,settings.py,,Long Statement,119.0,,,Line 119 has 121 characters (threshold: 120)
dataset,settings.py,,Long Statement,123.0,,,Line 123 has 143 characters (threshold: 120)
dataset,settings.py,,Long Statement,142.0,,,Line 142 has 1443 characters (threshold: 120)
dataset,settings.py,,Long Statement,145.0,,,Line 145 has 193 characters (threshold: 120)
dataset,settings.py,,Long Statement,203.0,,,Line 203 has 155 characters (threshold: 120)
dataset,settings.py,,Long Statement,209.0,,,Line 209 has 155 characters (threshold: 120)
dataset,settings.py,,Long Statement,215.0,,,Line 215 has 135 characters (threshold: 120)
dataset,settings.py,,Long Statement,221.0,,,Line 221 has 160 characters (threshold: 120)
dataset,settings.py,,Long Statement,307.0,,,Line 307 has 138 characters (threshold: 120)
dataset,settings.py,,Long Statement,314.0,,,Line 314 has 127 characters (threshold: 120)
dataset,settings.py,,Long Statement,332.0,,,Line 332 has 185 characters (threshold: 120)
dataset,settings.py,,Long Statement,341.0,,,Line 341 has 131 characters (threshold: 120)
dataset,settings.py,,Long Statement,344.0,,,Line 344 has 143 characters (threshold: 120)
dataset,settings.py,,Long Statement,355.0,,,Line 355 has 125 characters (threshold: 120)
dataset,settings.py,,Long Statement,362.0,,,Line 362 has 121 characters (threshold: 120)
dataset,settings.py,,Magic Number,31.0,,,Magic number 8 found at line 31
dataset,settings.py,,Magic Number,34.0,,,Magic number 30 found at line 34
dataset,settings.py,,Magic Number,36.0,,,Magic number 10 found at line 36
dataset,settings.py,,Magic Number,43.0,,,Magic number 3 found at line 43
dataset,settings.py,,Magic Number,45.0,,,Magic number 8338 found at line 45
dataset,settings.py,,Magic Number,50.0,,,Magic number 2000 found at line 50
dataset,settings.py,,Magic Number,51.0,,,Magic number 4 found at line 51
dataset,settings.py,,Magic Number,52.0,,,Magic number 1e-05 found at line 52
dataset,settings.py,,Magic Number,53.0,,,Magic number 0.001 found at line 53
dataset,settings.py,,Magic Number,54.0,,,Magic number 60 found at line 54
dataset,settings.py,,Magic Number,55.0,,,Magic number 5 found at line 55
dataset,settings.py,,Magic Number,56.0,,,Magic number 20 found at line 56
dataset,settings.py,,Magic Number,63.0,,,Magic number 65000 found at line 63
dataset,settings.py,,Magic Number,64.0,,,Magic number 100 found at line 64
dataset,settings.py,,Magic Number,65.0,,,Magic number 18 found at line 65
dataset,settings.py,,Magic Number,75.0,,,Magic number 10 found at line 75
dataset,settings.py,,Magic Number,124.0,,,Magic number 16 found at line 124
dataset,settings.py,,Magic Number,125.0,,,Magic number 24 found at line 125
dataset,settings.py,,Magic Number,127.0,,,Magic number 9 found at line 127
dataset,settings.py,,Magic Number,128.0,,,Magic number 10 found at line 128
dataset,settings.py,,Magic Number,129.0,,,Magic number 10 found at line 129
dataset,settings.py,,Magic Number,130.0,,,Magic number 32 found at line 130
dataset,settings.py,,Magic Number,131.0,,,Magic number 1000 found at line 131
dataset,settings.py,,Magic Number,132.0,,,Magic number 1024 found at line 132
dataset,settings.py,,Magic Number,133.0,,,Magic number 60 found at line 133
dataset,settings.py,,Magic Number,134.0,,,Magic number 60 found at line 134
dataset,settings.py,,Magic Number,135.0,,,Magic number 1000 found at line 135
dataset,settings.py,,Magic Number,136.0,,,Magic number 24 found at line 136
dataset,settings.py,,Magic Number,137.0,,,Magic number 9 found at line 137
dataset,settings.py,,Magic Number,138.0,,,Magic number 3.5 found at line 138
dataset,settings.py,_get_total_physmem,Magic Number,184.0,,,Magic number 1024 found at line 184
dataset,settings.py,_get_total_physmem,Magic Number,209.0,,,Magic number 1024 found at line 209
dataset,settings.py,_get_total_physmem,Magic Number,221.0,,,Magic number 1024 found at line 221
dataset,settings.py,read_config,Magic Number,355.0,,,Magic number 1024 found at line 355
dataset,settings.py,read_config,Magic Number,360.0,,,Magic number 100 found at line 360
dataset,test_basic.py,main,Complex Method,,38.0,61.0,Method 'main' has cyclomatic complexity of 11 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_basic,Complex Method,,91.0,154.0,Method 'test_basic' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_bad_glob,Complex Method,,187.0,208.0,Method 'test_bad_glob' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_interactivity,Complex Method,,229.0,292.0,Method 'test_interactivity' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_ignore_dictionary,Complex Method,,326.0,361.0,Method 'test_ignore_dictionary' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,_helper_test_case_handling_in_fixes,Complex Method,,759.0,813.0,Method '_helper_test_case_handling_in_fixes' has cyclomatic complexity of 13 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_encoding,Complex Method,,524.0,569.0,Method 'test_encoding' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_ignore,Complex Method,,582.0,608.0,Method 'test_ignore' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_check_hidden,Complex Method,,641.0,732.0,Method 'test_check_hidden' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_uri_ignore_words_list_option_uri,Complex Method,,1017.0,1079.0,Method 'test_uri_ignore_words_list_option_uri' has cyclomatic complexity of 10 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_basic.py,test_check_hidden,Empty Catch Block,706.0,,,Empty catch block at line 706
dataset,test_basic.py,test_stdin,Long Identifier,,,,Identifier 'single_line_per_error' has 21 characters (threshold: 20)
dataset,test_basic.py,test_basic,Long Method,,91.0,168.0,Method 'test_basic' has 78 lines (threshold: 67)
dataset,test_basic.py,test_check_hidden,Long Method,,641.0,732.0,Method 'test_check_hidden' has 92 lines (threshold: 67)
dataset,test_basic.py,test_context,Long Method,,824.0,904.0,Method 'test_context' has 81 lines (threshold: 67)
dataset,test_basic.py,test_uri_regex_def,Long Method,,1136.0,1226.0,Method 'test_uri_regex_def' has 91 lines (threshold: 67)
dataset,test_basic.py,test_config_toml,Long Method,,1280.0,1362.0,Method 'test_config_toml' has 83 lines (threshold: 67)
dataset,test_basic.py,,Long Statement,140.0,,,Line 140 has 126 characters (threshold: 120)
dataset,test_basic.py,test_stdin,Magic Number,1397.0,,,Magic number 4 found at line 1397
dataset,test_basic.py,test_stdin,Magic Number,1409.0,,,Magic number 2 found at line 1409
dataset,test_dictionary.py,_check_aspell,Complex Method,,101.0,124.0,Method '_check_aspell' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_dictionary.py,_check_err_rep,Complex Method,,137.0,190.0,Method '_check_err_rep' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_dictionary.py,test_dictionary_looping,Complex Method,,297.0,363.0,Method 'test_dictionary_looping' has cyclomatic complexity of 12 (threshold: 7)
dataset,test_dictionary.py,file_level,Long Lambda Function,117.0,,,Lambda at line 117 has 81 characters (threshold: 80). Convert to named function.
dataset,test_dictionary.py,_check_aspell,Long Parameter List,,,,Method '_check_aspell' has 5 parameters (threshold: 4)
dataset,test_dictionary.py,_check_err_rep,Long Parameter List,,,,Method '_check_err_rep' has 5 parameters (threshold: 4)
dataset,test_dictionary.py,test_error_checking_in_aspell,Long Parameter List,,,,Method 'test_error_checking_in_aspell' has 5 parameters (threshold: 4)
dataset,test_dictionary.py,test_ran_all,Magic Number,374.0,,,Magic number 2 found at line 374
dataset,update.py,update_trails,Complex Conditional,108.0,,,Conditional at line 108 has 5 logical operators (threshold: 2)
dataset,update.py,update_trails,Complex Conditional,164.0,,,Conditional at line 164 has 5 logical operators (threshold: 2)
dataset,update.py,update_trails,Complex Conditional,311.0,,,Conditional at line 311 has 3 logical operators (threshold: 2)
dataset,update.py,update_ipcat,Complex Conditional,349.0,,,Conditional at line 349 has 4 logical operators (threshold: 2)
dataset,update.py,update_trails,Complex Method,,70.0,338.0,Method 'update_trails' has cyclomatic complexity of 104 (threshold: 7)
dataset,update.py,update_ipcat,Complex Method,,340.0,381.0,Method 'update_ipcat' has cyclomatic complexity of 14 (threshold: 7)
dataset,update.py,main,Complex Method,,383.0,423.0,Method 'main' has cyclomatic complexity of 16 (threshold: 7)
dataset,update.py,,Empty Catch Block,54.0,,,Empty catch block at line 54
dataset,update.py,update_trails,Empty Catch Block,174.0,,,Empty catch block at line 174
dataset,update.py,update_trails,Empty Catch Block,247.0,,,Empty catch block at line 247
dataset,update.py,file_level,Long Identifier,,,,Identificador 'LOW_PRIORITY_INFO_KEYWORDS' possui 27 caracteres (> 20)
dataset,update.py,file_level,Long Lambda Function,108.0,,,Lambda at line 108 has 103 characters (threshold: 80). Convert to named function.
dataset,update.py,file_level,Long Lambda Function,415.0,,,Lambda at line 415 has 81 characters (threshold: 80). Convert to named function.
dataset,update.py,_chown,Long Message Chain,60.0,,,Message chain at line 60 has 3 chained methods (threshold: 2)
dataset,update.py,update_trails,Long Message Chain,139.0,,,Message chain at line 139 has 3 chained methods (threshold: 2)
dataset,update.py,update_ipcat,Long Message Chain,354.0,,,Message chain at line 354 has 3 chained methods (threshold: 2)
dataset,update.py,update_trails,Long Method,,70.0,338.0,Method 'update_trails' has 269 lines (threshold: 67)
dataset,update.py,,Long Statement,20.0,,,Line 20 has 127 characters (threshold: 120)
dataset,update.py,,Long Statement,104.0,,,Line 104 has 143 characters (threshold: 120)
dataset,update.py,,Long Statement,108.0,,,Line 108 has 288 characters (threshold: 120)
dataset,update.py,,Long Statement,128.0,,,Line 128 has 131 characters (threshold: 120)
dataset,update.py,,Long Statement,133.0,,,Line 133 has 166 characters (threshold: 120)
dataset,update.py,,Long Statement,146.0,,,Line 146 has 139 characters (threshold: 120)
dataset,update.py,,Long Statement,149.0,,,Line 149 has 121 characters (threshold: 120)
dataset,update.py,,Long Statement,152.0,,,Line 152 has 143 characters (threshold: 120)
dataset,update.py,,Long Statement,164.0,,,Line 164 has 309 characters (threshold: 120)
dataset,update.py,,Long Statement,169.0,,,Line 169 has 121 characters (threshold: 120)
dataset,update.py,,Long Statement,250.0,,,Line 250 has 130 characters (threshold: 120)
dataset,update.py,,Long Statement,255.0,,,Line 255 has 182 characters (threshold: 120)
dataset,update.py,,Long Statement,262.0,,,Line 262 has 173 characters (threshold: 120)
dataset,update.py,,Long Statement,311.0,,,Line 311 has 150 characters (threshold: 120)
dataset,update.py,,Long Statement,316.0,,,Line 316 has 125 characters (threshold: 120)
dataset,update.py,,Long Statement,317.0,,,Line 317 has 125 characters (threshold: 120)
dataset,update.py,,Long Statement,349.0,,,Line 349 has 225 characters (threshold: 120)
dataset,update.py,,Long Statement,372.0,,,Line 372 has 134 characters (threshold: 120)
dataset,update.py,,Long Statement,411.0,,,Line 411 has 189 characters (threshold: 120)
dataset,update.py,,Long Statement,412.0,,,Line 412 has 187 characters (threshold: 120)
dataset,update.py,update_trails,Magic Number,148.0,,,Magic number 20 found at line 148
dataset,update.py,update_trails,Magic Number,149.0,,,Magic number 100 found at line 149
dataset,update.py,update_trails,Magic Number,179.0,,,Magic number 20 found at line 179
dataset,update.py,update_trails,Magic Number,219.0,,,Magic number 32 found at line 219
dataset,update.py,update_trails,Magic Number,333.0,,,Magic number 40 found at line 333
dataset,update.py,update_ipcat,Magic Number,349.0,,,Magic number 3600 found at line 349
dataset,update.py,main,Magic Number,406.0,,,Magic number 2 found at line 406
